"Country.Name";"Country.Code";"Indicator.Name";"Indicator.Code";"X1960";"X1961";"X1962";"X1963";"X1964";"X1965";"X1966";"X1967";"X1968";"X1969";"X1970";"X1971";"X1972";"X1973";"X1974";"X1975";"X1976";"X1977";"X1978";"X1979";"X1980";"X1981";"X1982";"X1983";"X1984";"X1985";"X1986";"X1987";"X1988";"X1989";"X1990";"X1991";"X1992";"X1993";"X1994";"X1995";"X1996";"X1997";"X1998";"X1999";"X2000";"X2001";"X2002";"X2003";"X2004";"X2005";"X2006";"X2007";"X2008";"X2009";"X2010";"X2011";"X2012";"X2013";"X2014";"X2015";"X2016";"X2017";"X2018"
"Aruba";"ABW";"School enrollment, primary and secondary (gross), gender parity index (GPI)";"SE.ENR.PRSC.FM.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,01192;0,99266;0,99949;0,989;0,97706;0,95291;0,96339;0,96798;0,98676;1,00585;1,00444;1,0146;1,00871;1,02156;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Agriculture, forestry, and fishing, value added (% of GDP)";"NV.AGR.TOTL.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,505997081;0,485804391;0,429949894;0,407981131;0,383292096;0,410021828;0,40514984;0,402215827;0,401381979;0,391652043;0,386673058;0,39375576;0,405233924;0,380728531;0,440397943;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"CPIA public sector management and institutions cluster average (1=low to 6=high)";"IQ.CPA.PUBS.XQ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Ease of doing business index (1=most business-friendly regulations)";"IC.BUS.EASE.XQ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Terrestrial and marine protected areas (% of total territorial area)";"ER.PTD.TOTL.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,527983105;0,141163456;NA
"Aruba";"ABW";"Marine protected areas (% of territorial waters)";"ER.MRN.PTMR.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,000105157;NA
"Aruba";"ABW";"Terrestrial protected areas (% of total land area)";"ER.LND.PTLD.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,53;18,91757626;NA
"Aruba";"ABW";"Annual freshwater withdrawals, total (% of internal resources)";"ER.H2O.FWTL.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Annual freshwater withdrawals, total (billion cubic meters)";"ER.H2O.FWTL.K3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Population in urban agglomerations of more than 1 million (% of total population)";"EN.URB.MCTY.TL.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Population living in areas where elevation is below 5 meters (% of total population)";"EN.POP.EL5M.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,070367726;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,070367418;NA;NA;NA;NA;NA;NA;NA;NA;NA;7,069166545;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Urban population living in areas where elevation is below 5 meters (% of total population)";"EN.POP.EL5M.UR.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,717903784;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,717903593;NA;NA;NA;NA;NA;NA;NA;NA;NA;4,71804376;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Rural population living in areas where elevation is below 5 meters (% of total population)";"EN.POP.EL5M.RU.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,352463942;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,352463825;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,351122785;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Droughts, floods, extreme temperatures (% of population, average 1990-2009)";"EN.CLC.MDAT.ZS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"GHG net emissions/removals by LUCF (Mt of CO2 equivalent)";"EN.CLC.GHGR.MT.CE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Disaster risk reduction progress score (1-5 scale; 5=best)";"EN.CLC.DRSK.XQ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"SF6 gas emissions (thousand metric tons of CO2 equivalent)";"EN.ATM.SF6G.KT.CE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"PFC gas emissions (thousand metric tons of CO2 equivalent)";"EN.ATM.PFCG.KT.CE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Nitrous oxide emissions (% change from 1990)";"EN.ATM.NOXE.ZG";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,328262568;2,621905496;7,279196229;11,98053497;12,42756986;-29,49853435;225,0114053;-44,7202689;-50,81226632;-53,75194676;-56,24144603;-54,86966508;-57,64967148;-57,60378813;-56,28208557;-51,23753939;-51,56055815;-50,2302033;-48,21290921;-46,19561513;-45,65757128;-45,11952743;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Nitrous oxide emissions (thousand metric tons of CO2 equivalent)";"EN.ATM.NOXE.KT.CE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,8261976;1,8269478;1,8448131;1,8220901;1,821157;1,8296076;2,6258457;2,7775194;5,303201;6,067785;6,170271;7,047013;7,624574;7,290487;7,828492;8,650364;6,47466;8,943996;11,000443;11,871481;11,823462;11,862274;12,133462;12,684115;13,239976;13,292831;8,335714;38,4276;6,535978;5,815693;5,468121;5,173776;5,335968;5,007275;5,0127;5,168971;5,765411;5,727219;5,884513;6,123027;6,361541;6,42515641;6,48877182;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Methane emissions (% change from 1990)";"EN.ATM.METH.ZG";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,03732012;4,751989879;7,968082863;11,20130726;13,96605345;11,77586843;41,78417058;14,30472827;15,66733435;18,94075167;21,34771493;24,5381108;27,29165568;30,48205155;32,98323757;36,23359338;39,99393812;43,26933214;46,58030678;49,8385694;51,33695509;52,83534078;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Methane emissions (kt of CO2 equivalent)";"EN.ATM.METH.KT.CE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;10,2469;10,4531;10,657;10,8551;11,0415;11,2194;11,5069;11,6718;12,2338;12,4857;12,6755;12,937;13,182;13,3622;13,6488;13,9676;13,8472;14,3017;14,5499;14,8981;15,1768;15,486;15,898;16,3861;16,8768;17,2964;16,964;21,5183;17,3478;17,5546;18,0514;18,4167;18,9009;19,3188;19,803;20,1826;20,6759;21,2466;21,7437;22,2462;22,7407;22,968107;23,195514;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"HFC gas emissions (thousand metric tons of CO2 equivalent)";"EN.ATM.HFCG.KT.CE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Total greenhouse gas emissions (% change from 1990)";"EN.ATM.GHGT.ZG";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aruba";"ABW";"Total greenhouse gas emissions (kt of CO2 equivalent)";"EN.ATM.GHGT.KT.CE";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;42,3062976;42,7869478;43,2866131;43,7245901;44,130957;44,4819076;131,6337457;135,0553194;358,990001;409,505485;424,783771;519,001013;564,023574;530,385687;571,038292;642,147964;435,85886;616,928696;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
